codigo1,DESCRIPCION_CIEX
T914  ,Secuelas de Traumatismo de Organos Intratoracicos                                                   
T931  ,Secuelas de Fractura del Femur                                                                      
T936  ,Secuelas de Aplastamiento y Amputacion Traumaticas de Miembro Inferior                              
U205  ,Tuberculosis Extensamente Resistente (TB XDR)                                                       
U206  ,Otras Tuberculosis Drogoresistentes                                                                 
U2262 ,Tratamiento Criadero Metodo Fisico Colectivo                                                        
U2612 ,Entrega de Resultado de Biopsia de Mama                                                             
U263  ,Evaluacion y Entrega de Resultados Muestras de Control                                              
U316  ,tratamiento Antiviral para HVB                                                                      
V029  ,Peaton Lesionado por Colision con Vehiculo de Motor de dos o Tres Ruedas - Accidente no E            
V093  ,Peaton Lesionado en Accidente de Transito                                            
V100  ,Ciclista Lesionado por Colision con Peaton o Animal - Conductor Lesionado en Accidente No            
V101  ,Ciclista Lesionado por Colision con Peaton o Animal - Pasajero Lesionado en Accidente No             
V112  ,Ciclista Lesionado por Colision con Otro Ciclista - Ciclista  - Lesionado E            
V149  ,Ciclista Lesionado por Colision con Vehiculo de Transporte Pesado o Autobus - Ciclista No            
V162  ,Ciclista Lesionado por Colision con otros Vehiculos sin Motor - Ciclista  -            
W340  ,Disparo de otras Armas de Fuego - y las no Especificadas - en Vivienda                                
W390  ,Explosion de Fuegos Artificiales - en Vivienda                                                       
W572  ,Mordedura o Picadura de Insectos y otros Artropodos no Venenosos - en Escuelas - otras Ins            
X000  ,Exposicion a Fuego no Controlado en Edificio u otra Construccion - en Vivienda                       
X219  ,Contacto Traumatico con Aranas Venenosas - en Lugar                                   
X337  ,Victima de Rayo - en Granja                                                                          
X440  ,Envenenamiento Accidental por - y Exposicion a otras Drogas - Medicamentos y Sustancias Bi            
X680  ,Envenenamiento Autoinfligido Intencionalmente por - y Exposicion a Plaguicidas - en Vivien            
Y060  ,Negligencia y Abandono por Esposo o Pareja en Lugar                                  
Y071  ,Otros Sindromes de Maltrato por Padre o Madre en Lugar                               
Y424  ,Efectos Adversos de Anticonceptivos Orales                                                          
Y428  ,Efectos Adversos de otras Hormonas y sus Sustitutos Sinteticos - y las no Especificadas              
Y429  ,Efectos Adversos de otras Hormonas Antagonistas - y las no Especificadas                             
Y579  ,Efectos Adversos de Drogas o Medicamentos s                                          
Y871  ,Secuelas de Agresiones                                                                              
Z002  ,Examen durante el Periodo de Crecimiento Rapido en la Infancia                                      
Z021  ,Examen Preempleo                                                                                    
Z0274 ,Expedicion de Certificado por discapacidad                                                          
Z032  ,Observacion por Sospecha de Trastorno Mental y del Comportamiento                                   
Z033  ,Observacion por Sospecha de Trastorno del Sistema Nervioso                                          
Z114  ,Examen de Pesquisa Especial para el Virus de la Inmunodeficiencia Humana [VIH]                      
Z208  ,Contacto con y Exposicion a otras Enfermedades Transmisibles                                        
Z2423 ,Vac.Antirrabica Humana por Mordedura de Murcielago (Rabia Silvestre) Esquema Reducido               
Z269  ,Necesidad de Inmunizacion Contra Enfermedad Infecciosa no Especificada                              
Z30093,Prescripcion Inicial de Metodo de Abstinencia Periodica Billings                                    
Z434  ,Atencion de otros Orificios Artificiales de las Vias digestivas                                     
Z552  ,Problemas Relacionados con la Falla en los Examenes                                                 
Z561  ,Problemas Relacionados con el Cambio de Empleo                                                      
Z564  ,Problemas Relacionados con desavenencias con el Jefe y los Companeros de Trabajo                    
Z597  ,Problemas Relacionados con Seguridad Social y Sostenimiento Insuficientes para el Bienes            
Z603  ,Problemas Relacionados con la Adaptacion Cultural                                                   
Z622  ,Problemas Relacionados con la Crianza  en Instituciones.                                            
Z650  ,Problemas Relacionados con Culpabilidad en Procedimientos Civiles o Criminales sin Prisi            
Z653  ,Problemas Relacionados con otras  Circunstancias Legales                                            
Z704  ,Control de Trabajadores Sexuales                                                                    
Z710  ,Persona que Consulta en Nombre de otra Persona                                                      
Z7174 ,Consejeria a Personas que Viven con VIH / SIDA                                                      
Z720  ,Problemas Relacionados con el Uso de Tabaco                                                         
Z7251 ,Riesgo de Embarazo por la Conducta Sexual de Alto Riesgo                                            
Z7252 ,Riesgo de Ets por la Conducta Sexual de Alto Riesgo                                                 
Z740  ,Necesidad de asistencia debido a Movilidad Reducida                                                 
Z750  ,Problemas Relacionados con Servicio Medico no disponible en el domicilio                            
Z754  ,Problemas Relacionados con otros Servicios Asistenciales no disponibles o Inaccesibles              
Z821  ,Historia Familiar de Ceguera o Perdida de la Vision                                                 
Z910  ,Historia Personal de Alergia - no debida a Drogas ni a Sustancias Biologicas                         
Z914  ,Historia Personal de Trauma Psicologico - no Clasificado en otra parte                               
Z930  ,Traqueostomia                                                                                       
Z935  ,Cistostomia                                                                                         
A013  ,Fiebre Paratifoidea C                                                                               
A158  ,Otras Tuberculosis Respiratorias - Confirmadas Bacteriologica e Histologicamente                     
A168  ,Otras Tuberculosis Respiratorias - sin Mencion de Confirmacion                                       
A505  ,Otras Formas de Sifilis Congenita Tardia - Sintomatica                                               
B020  ,Encefalitis debida a Herpes Zoster (G05.1*)                                                         
B181  ,Hepatitis Viral Tipo B Cronica - sin Agente Delta                                                    
B529  ,Malaria por P. Malarie sin Complicaciones                                                           
B89X  ,Enfermedad Parasitaria                                                          
B980  ,Helicobacter pylori [H. pylori] como causa de enfermedades clasificadas en otros cap¡tulos          
C068  ,Lesion de Sitios Contiguos de otras partes y de las no Especificadas de la Boca                     
C161  ,Tumor Maligno del Fundus Gastrico                                                                   
C436  ,Melanoma Maligno del Miembro Superior - Incluido el Hombro                                           
C443  ,Tumor Maligno de la Piel de otras partes y de las no Especificadas de la Cara                       
C73X  ,Tumor Maligno de la Glandula Tiroides                                                               
D075  ,Carcinoma In Situ de la Prostata                                                                    
D101  ,Tumor Benigno de la Lengua                                                                          
D219  ,Tumor Benigno del Tejido Conjuntivo y otros Tejidos Blandos - de Sitio                
D27X  ,Tumor Benigno del Ovario                                                                            
D293  ,Tumor Benigno del Epididimo                                                                         
D319  ,Tumor Benigno del Ojo - parte no Especificada                                                        
D376  ,Tumor de Comportamiento Incierto o desconocido del Higado - de la Vesicula Biliar y del C            
D480  ,Tumor de Comportamiento Incierto o desconocido del Hueso y Cartilago Articular                      
E115  ,Diabetes Mellitus no Insulinodependiente - con Complicaciones Circulatorias Perifericas              
E138  ,Diabetes Mellitus Especificada - con Complicaciones no Especificadas                                 
E146  ,Diabetes Mellitus - no Especificada - con otras Complicaciones Especificadas                          
E805  ,Sindrome de Crigler - Najjar                                                                        
E876  ,Hipopotasmia                                                                                        
E890  ,Hipotiroidismo Consecutivo a Procedimientos                                                         
F066  ,Trastorno de Labilidad Emocional [Astenico] - Organico                                               
F130  ,Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos - Intoxi            
F191  ,Trastornos Mentales y del Comportamiento debidos al uso de Multiples Drogas y al uso de             
F341  ,Distimia                                                                                            
F401  ,Fobias Sociales                                                                                     
F508  ,Otros Trastornos de la Ingestion de Alimentos                                                       
F524  ,Eyaculacion Precoz                                                                                  
F638  ,Otros Trastornos de los Habitos y de los Impulsos                                                   
F639  ,Trastorno de los Habitos y de los Impulsos                                          
F88X  ,Otros Trastornos del desarrollo Psicologico                                                         
F940  ,Mutismo Electivo                                                                                    
G253  ,Mioclonia                                                                                           
G402  ,Epilepsia y Sindromes Epilepticos Sintomaticos Relacionados con Localizaciones (Focales)            
G405  ,Sindromes Epilepticos Especiales                                                                    
G508  ,Otros Trastornos del Trigemino                                                                      
G521  ,Trastornos del Nervio Glosofaringeo                                                                 
G547  ,Sindrome del Miembro Fantasma sin dolor                                                             
G560  ,Sindrome del Tunel Carpiano                                                                         
G568  ,Otras Mononeuropatias del Miembro Superior                                                          
G619  ,Polineuropatia Inflamatoria                                                     
G959  ,Enfermedad de la Medula Espinal                                                 
H652  ,Otitis Media Cronica Serosa                                                                         
H653  ,Otitis Media Cronica Mucoide                                                                        
H680  ,Salpingitis Eustaquiana                                                                             
H71X  ,Colesteatoma del Oido Medio                                                                         
H907  ,Hipoacusia Mixta Conductiva y Neurosensorial - Unilateral con Audicion Irrestricta Contra            
H918  ,Otras Hipoacusias Especificadas                                                                     
I300  ,Pericarditis Idiopatica Aguda Inespecifica                                                          
I498  ,Otras Arritmias Cardiacas Especificadas                                                             
I691  ,Secuelas de Hemorragia Intraencefalica                                                              
I780  ,Telangiectasia Hemorragica Hereditaria                                                              
I863  ,Varices de la Vulva                                                                                 
I880  ,Linfadenitis Mesenterica Inespecifica                                                               
J370  ,Laringitis Cronica                                                                                  
J371  ,Laringotraqueitis Cronica                                                                           
J458  ,Asma Mixta                                                                                          
K113  ,Absceso de Glandula Salival                                                                         
K132  ,Leucoplasia y otras Alteraciones del Epitelio Bucal - Incluyendo la Lengua                           
K136  ,Hiperplasia Irritativa de la Mucosa Bucal                                                           
K222  ,Obstruccion del Esofago                                                                             
K353  ,Apendicitis aguda con peritonitis localizada                                                        
K389  ,Enfermedad del Apendice                                                         
K404  ,Hernia Inguinal Unilateral o no Especificada - con Gangrena                                          
K509  ,Enfermedad de Crohn                                                             
L043  ,Linfadenitis Aguda del Miembro Inferior                                                             
L109  ,Penfigo                                                                             
L278  ,Dermatitis debida a otras Sustancias Ingeridas                                                      
L281  ,Prurigo Nodular                                                                                     
L562  ,Dermatitis por Fotocontacto [Dermatitis de Berloque]                                                
L708  ,Otros Acnes                                                                                         
L743  ,Miliaria                                                                        
L920  ,Granuloma Anular                                                                                    
L928  ,Otros Trastornos Granulomatosos de la Piel y del Tejido Subcutaneo                                  
M002  ,Otras Artritis y Poliartritis Estreptococicas                                                       
M154  ,(Osteo)Artrosis Erosiva                                                                             
M236  ,Otra Ruptura Espontanea del (de los) Ligamento (s) de la Rodilla                                    
M310  ,Angiitis debida a Hipersensibilidad                                                                 
M414  ,Escoliosis Neuromuscular                                                                            
M430  ,Espondilolisis                                                                                      
M711  ,Otras Bursitis Infecciosas                                                                          
M713  ,Otros Quistes de la Bolsa Serosa                                                                    
M839  ,Osteomalacia del Adulto                                                         
M898  ,Otros Trastornos Especificados del Hueso                                                            
N301  ,Cistitis Intersticial (Cronica)                                                                     
N369  ,Trastorno de la Uretra                                                              
N422  ,Atrofia de la Prostata                                                                              
N430  ,Hidrocele Enquistado                                                                                
N489  ,Trastorno del Pene                                                                  
N491  ,Trastornos Inflamatorios del Cordon Espermatico - Tunica Vaginal y Conducto deferente                
N645  ,Otros Signos y Sintomas Relativos a la Mama                                                         
N743  ,Enfermedad Inflamatoria Pelvica Femenina por Gonococos (A54.2+)                                     
O053  ,Otro Aborto - Incompleto - con otras Complicaciones Especificadas y las no Especificadas              
O080  ,Aborto Septico                                                                                      
O150  ,Eclampsia en el Embarazo                                                                            
O368  ,Atencion Materna por otros Problemas Fetales Especificados                                          
O40X  ,Polihidramnios                                                                                      
O624  ,Contracciones Uterinas Hipertonicas - Incoordinadas y Prolongadas                                    
O922  ,Otros Trastornos de la Mama y los s Asociados con el Parto                           
O94X  ,Secuelas de complicaciones del embarazo - del  parto y del puerperio                                 
P050  ,Bajo Peso para la Edad Gestacional                                                                  
P073  ,Rn Pre Termino                                                                                      
P593  ,Ictericia Neonatal por Inhibidor de la Leche Materna                                                
P612  ,Anemia de la Prematuridad                                                                           
P942  ,Hipotonia Congenita                                                                                 
Q010  ,Encefalocele Frontal                                                                                
Q104  ,Ausencia y Agenesia del Aparato Lagrimal                                                            
Q209  ,Malformacion Congenita de las Camaras Cardiacas y sus Conexiones                
Q212  ,Defecto del Tabique Auriculoventricular                                                             
Q248  ,Otras Malformaciones Congenitas del Corazon - Especificadas                                          
Q351  ,Fisura del Paladar duro - Unilateral                                                                 
Q430  ,Diverticulo de Meckel                                                                               
Q530  ,Ectopia Testicular                                                                                  
Q825  ,Nevo no Neoplasico - Congenito                                                                       
R410  ,Desorientacion no Especificada                                                                      
S100  ,Contusion de la Garganta                                                                            
S117  ,Heridas Multiples del Cuello                                                                        
S118  ,Heridas de otras partes del Cuello                                                                  
S201  ,Otros Traumatismos Superficiales y los s de la Mama                                  
S235  ,Esguinces y Torceduras de otras partes y de las no Especificadas del Torax                          
S315  ,Herida de otros Organos Genitales Externos y de los s                                
S409  ,Traumatismo Superficial  del Hombro y del Brazo                                      
S418  ,Herida de otras partes y de las no Especificadas del Hombro y del Brazo                             
S432  ,Luxacion de la Articulacion Esternoclavicular                                                       
S441  ,Traumatismo del Nervio Mediano a nivel del Brazo                                                    
S827  ,Fracturas Multiples de la Pierna                                                                    
T008  ,Traumatismos Superficiales que Afectan otras Combinaciones de Regiones del Cuerpo                   
T754  ,Efectos de la Corriente Electrica                                                                   
T818  ,Otras Complicaciones de Procedimientos - no Clasificadas en otra parte                               
T881  ,Otras Complicaciones Consecutivas a Inmunizacion - no Clasificadas en otra parte                     
T913  ,Secuelas de Traumatismo de la Medula Espinal                                                        
U1253 ,Formacion de Educadores de Pares                                                                    
U218  ,Examen Serologico                                                                                   
U900  ,Terapia Neural                                                                                      
V262  ,Motociclista Lesionado por Colision con otros Vehiculos sin Motor - Motociclista no Espec            
Y452  ,Efectos Adversos de derivados del Acido Propionico                                                  
Z118  ,Examen de Pesquisa Especial para otras Enfermedades Infecciosas y Parasitarias Especific            
Z310  ,Tuboplastia o Vasoplastia Posterior a Esterilizacion                                                
Z368  ,Otras Pesquisas Prenatales Especificas                                                              
Z418  ,Otros Procedimientos para otros propositos que no sean los de mejorar el Estado de Salud            
Z524  ,Donante de Rinon                                                                                    
Z551  ,Problemas Relacionados con la Educacion no disponible o Inaccesible                                 
Z615  ,Problemas Relacionados con el Abuso Sexual del Nino por Persona Ajena al Grupo de Apoyo             
Z714  ,Consulta para Asesoria y Vigilancia por Abuso de Alcohol                                            
Z748  ,Otros Problemas Relacionados con Dependencia del Prestador de Servicios                             
Z804  ,Historia Familiar de Tumor Maligno de Organos Genitales                                             
Z913  ,Historia Personal de Ciclo Sueno-Vigilia no Saludable                                               
Z928  ,Historia Personal de otros Tratamientos Medicos                                                     
Z929  ,Historia Personal de Tratamiento Medico                                              
D261  ,Tumor Benigno del Cuerpo del Utero                                                                  
E078  ,Otros Trastornos Especificados de la Glandula Tiroides                                              
E281  ,Exceso de Androgenos                                                                                
L237  ,Dermatitis Alergica de Contacto debida a Plantas - Excepto las Alimenticias                          
O267  ,Subluxacion de la Sinfisis (del Pubis) en el Embarazo - el Parto y el Puerperio                      
Q677  ,Torax en Quilla                                                                                     
R071  ,Dolor en el Pecho al Respirar                                                                       
R490  ,Disfonia                                                                                            
A028  ,Otras Infecciones Especificadas como debidas a Salmonella                                           
A810  ,Enfermedad de Creutzfeldt - Jakob                                                                   
D374  ,Tumor de Comportamiento Incierto o desconocido del Colon                                            
E278  ,Otros Trastornos Especificados de la Glandula Suprarrenal                                           
E662  ,Obesidad Extrema con Hipoventilacion Alveolar                                                       
F060  ,Alucinosis Organica                                                                                 
F067  ,Trastorno Cognoscitivo Leve                                                                         
F950  ,Trastorno por Tic Transitorio                                                                       
G589  ,Mononeuropatia                                                                  
H041  ,Otros Trastornos de la Glandula Lagrimal                                                            
H130  ,Infeccion Filarica de la Conjuntiva (B74.-+)                                                        
J120  ,Neumonia debida a Adenovirus                                                                        
K049  ,Otras Enfermedades y las no Especificadas de la Pulpa y del Tejido Periapical                       
K148  ,Otras Enfermedades de la Lengua                                                                     
K593  ,Megacolon - no Clasificado en otra parte                                                             
L139  ,Trastorno Flictenular                                                               
M173  ,Otras Gonartrosis Postraumaticas                                                                    
M610  ,Miositis Osificante Traumatica                                                                      
M929  ,Osteocondrosis Juvenil                                                          
O622  ,Atonia Uterina                                                                                      
O872  ,Hemorroides en el Puerperio                                                                         
Q289  ,Malformacion Congenita del Sistema Circulatorio                                 
R620  ,Retardo del desarrollo                                                                              
S109  ,Traumatismo Superficial del Cuello - parte no Especificada                                           
S275  ,Traumatismo de la Traquea Toracica                                                                  
S627  ,Fracturas Multiples de los dedos de la Mano                                                         
S652  ,Traumatismo del Arco Palmar Superficial                                                             
S682  ,Amputacion Traumatica de dos o Mas dedos Solamente (Completa) (Parcial)                             
S933  ,Luxacion de otros Sitios y los s del Pie                                             
T027  ,Fracturas que Afectan el Torax con la Region Lumbosacra y la Pelvis con Miembro (s)                 
T782  ,Choque Anafilactico                                                                 
U0042 ,Actividades del Adulto Mayor                                                                        
Z046  ,Examen Psiquiatrico General - Solicitado por una Autoridad                                           
A259  ,Fiebre por Mordedura de Rata                                                    
A281  ,Enfermedad por Rasguno de Gato                                                                      
B814  ,Helmintiasis Intestinal Mixta                                                                       
C55X  ,Tumor Maligno del Utero - parte no Especificada                                                      
C751  ,Tumor Maligno de la Hipofisis                                                                       
C910  ,Leucemia Linfoblastica Aguda [ALL o LLA]                                                            
D044  ,Carcinoma In Situ de la Piel del Cuero Cabelludo y Cuello                                           
D237  ,Tumor Benigno de la Piel del Miembro Inferior - Incluida la Cadera                                   
D471  ,Enfermedad Mieloproliferativa Cronica                                                               
D594  ,Otras Anemias Hemoliticas no Autoinmunes                                                            
E011  ,Bocio Multinodular (Endemico) Relacionado con Deficiencia de Yodo                                   
F000  ,Demencia en la Enfermedad de Alzheimer - de Comienzo Temprano (G30.0+)                               
F009  ,Demencia en la Enfermedad de Alzheimer - no Especificada (G30.9+)                                    
F123  ,Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides - Estado de Abst            
F125  ,Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides - Trastorno Psic            
F141  ,Trastornos Mentales y del Comportamiento debidos al uso de Cocaina - uso Nocivo                      
F142  ,Trastornos Mentales y del Comportamiento debidos al uso de Cocaina - Sindrome de dependen            
F145  ,Trastornos Mentales y del Comportamiento debidos al uso de Cocaina - Trastorno Psicotico             
F149  ,Trastornos Mentales y del Comportamiento debidos al uso de Cocaina. .                
F152  ,Trastornos Mentales y del Comportamiento debidos al uso de otros Estimulantes - Incluida             
F190  ,Trastornos Mentales y del Comportamiento debidos al uso de Multiples Drogas y al uso de             
F192  ,Trastornos Mentales y del Comportamiento debidos al uso de Multiples Drogas y al uso de             
F201  ,Esquizofrenia Hebefrenica                                                                           
F220  ,Trastorno Delirante                                                                                 
F250  ,Trastorno Esquizoafectivo de Tipo Maniaco                                                           
F317  ,Trastorno Afectivo Bipolar - Actualmente en Remision                                                 
F333  ,Trastorno Depresivo Recurrente - Episodio depresivo Grave Presente - con Sintomas Psicotic            
F338  ,Otros Trastornos Depresivos Recurrentes                                                             
F400  ,Agorafobia                                                                                          
F421  ,Predominio de Actos Compulsivos [Rituales Obsesivos]                                                
F439  ,Reaccion al Estres Grave                                                        
F440  ,Amnesia Disociativa                                                                                 
F441  ,Fuga Disociativa                                                                                    
F451  ,Trastorno Somatomorfo Indiferenciado                                                                
F452  ,Trastorno Hipocondriaco                                                                             
F501  ,Anorexia Nerviosa Atipica                                                                           
F530  ,Trastornos Mentales y del Comportamiento Leves - Asociados con el Puerperio - no Clasifica            
F633  ,Tricotilomania                                                                                      
F642  ,Trastorno de la Identidad de Genero en la Ninez                                                     
F719  ,Retraso Mental Moderado por Deterioro del Comportamiento de Grado                    
F933  ,Trastorno de Rivalidad Entre Hermanos                                                               
H158  ,Otros Trastornos de la Esclerotica                                                                  
H474  ,Trastornos del Quiasma Optico                                                                       
H624  ,Otitis Externa en otras Enfermedades Clasificadas en otra parte                                     
I099  ,Enfermedad Reumatica del Corazon                                                
J018  ,Otras Sinusitis Agudas                                                                              
K229  ,Enfermedad del Esofago                                                          
K625  ,Hemorragia del Ano y del Recto                                                                      
K745  ,Cirrosis Biliar                                                                 
L97X  ,Ulcera de Miembro Inferior - no Clasificada en otra parte                                            
M761  ,Tendinitis del Psoas                                                                                
Q378  ,Fisura del Paladar con Labio Leporino Bilateral - sin otra Especificacion                            
Q447  ,Otras Malformaciones Congenitas del Higado                                                          
Q503  ,Otras Malformaciones Congenitas de los Ovarios                                                      
Q523  ,Himen Imperforado                                                                                   
Q702  ,Fusion de los Dedos del Pie                                                                         
Q897  ,Malformaciones Congenitas Multiples - no Clasificadas en otra parte                                  
Q912  ,Trisomia 18 - por Translocacion                                                                      
R190  ,Tumefaccion - Masa o Prominencia Intraabdominal y Pelvica                                            
S232  ,Luxacion de otras partes y de las no Especificadas del Torax                                        
S434  ,Esguinces y Torceduras de la Articulacion del Hombro                                                
S907  ,Traumatismos Superficiales Multiples del Pie y del Tobillo                                          
T456  ,Drogas que Afectan la Fibrinolisis                                                                  
T882  ,Choque debido a la Anestesia                                                                        
T954  ,Secuelas de Quemadura y Corrosion Clasificables Solo de Acuerdo con la Extension de la S            
U147  ,Vigilancia de la Salud de los Trabajadores                                                          
Y049  ,Agresion con Fuerza Corporal en Lugar                                                
Y050  ,Agresion Sexual con Fuerza Corporal - en Vivienda                                                    
Y055  ,Agresion Sexual con Fuerza Corporal - en Comercio y Area de Servicios                                
Y059  ,Agresion Sexual con Fuerza Corporal en Lugar                                         
Y079  ,Otros Sindromes de Maltrato por Persona no Especificada                                             
Y728  ,Dispositivos Otorrinolaringologicos Asociados con Incidentes Adversos - Dispositivos dive            
Z122  ,Examen de Pesquisa Especial para Tumores de Organos Respiratorios                                   
Z282  ,Inmunizacion no Realizada por decision del Paciente - por otras Razones y las no Especifi            
Z3492 ,Gestante Normal Control 2do. Trimestre (24 Semanas)                                                 
Z505  ,Terapia del Lenguaje / Unidad Psicologica  en Terapia de Lenguaje (UPTL)                            
Z532  ,Procedimiento no Realizado por decision del Paciente - por otras Razones y las no Especif            
Z549  ,Convalecencia Consecutiva a Tratamiento                                              
Z811  ,Historia Familiar de Abuso de Alcohol                                                               
A072  ,Criptosporidiosis                                                                                   
A160  ,TBC Pulmonar Bk (-) Cultivo (-)                                                                     
A200  ,Peste Bubonica                                                                                      
A391  ,Sindrome de Waterhouse-Friderichsen (E35.1*)                                                        
A545  ,Faringitis Gonococica                                                                               
A691  ,Otras Infecciones de Vincent (Gingivitis de Vincent. Gingivitis y Gingivoestomatitis Ulc            
A971  ,Dengue con seniales de alarma                                                                       
B018  ,Varicela con otras Complicaciones                                                                   
B160  ,Hepatitis Aguda Tipo B - con Agente delta (Coinfeccion) - con Coma Hepatico                           
B189  ,Hepatitis Viral Cronica - sin otra Especificacion                                                    
B260  ,Orquitis por Parotiditis (N51.1*)                                                                   
B579  ,Enfermedad de Chagas (cronica) Indeterminado                                                        
C022  ,Tumor Maligno de la Cara Ventral de la Lengua                                                       
C062  ,Tumor Maligno del Area Retromolar                                                                   
C180  ,Tumor Maligno del Ciego                                                                             
C182  ,Tumor Maligno del Colon Ascendente                                                                  
C20X  ,Tumor Maligno del Recto                                                                             
C503  ,Tumor Maligno del Cuadrante Inferior Interno de la Mama                                             
C549  ,Tumor Maligno del Cuerpo del Utero - parte no Especificada                                           
C760  ,Tumor Maligno de la Cabeza - Cara y Cuello                                                           
C787  ,Tumor Maligno Secundario del Higado y conducto biliar intrahep tico                                 
C829  ,Linfoma Folicular - sin otra Especificacion                                                          
C840  ,Micosis Fungoide                                                                                    
C911  ,Leucemia Linfocitica Cronica de c‚lulas B                                                           
C919  ,Leucemia Linfoide - sin otra Especificacion                                                          
C946  ,Enfermedad mielodispl sica y mieloproliferativa - no clasificada                                     
C951  ,Leucemia Cronica - Celulas de Tipo                                                    
D013  ,Carcinoma In Situ del Ano y del Conducto Anal                                                       
D051  ,Carcinoma In Situ Intracanalicular                                                                  
D117  ,Tumor Benigno de otras Glandulas Salivales Mayores Especificadas                                    
D128  ,Tumor Benigno del Recto                                                                             
D141  ,Tumor Benigno de la Laringe                                                                         
D167  ,Tumor Benigno de las Costillas - Esternon y Clavicula                                                
D220  ,Nevo Melanocitico del Labio                                                                         
D235  ,Tumor Benigno de la Piel del Tronco                                                                 
D252  ,Leiomioma Subseroso del Utero                                                                       
D580  ,Esferocitosis Hereditaria                                                                           
D610  ,Anemia Aplastica Constitucional                                                                     
D691  ,Defectos Cualitativos de las Plaquetas                                                              
E050  ,Tirotoxicosis con Bocio difuso                                                                      
E065  ,Otras Tiroiditis Cronicas                                                                           
E103  ,Diabetes Mellitus Insulinodependiente - con Complicaciones Oftalmicas                                
E111  ,Diabetes Mellitus no Insulinodependiente - con Cetoacidosis                                          
E131  ,Diabetes Mellitus Especificada - con Cetoacidosis                                                    
E160  ,Hipoglicemia sin Coma - Inducida por Drogas                                                          
E350  ,Trastornos de la Glandula Tiroides en Enfermedades Clasificadas en otra parte                       
E60X  ,Deficiencia Dietetica de Zinc                                                                       
E671  ,Hipercarotinemia                                                                                    
E768  ,Otros Trastornos del Metabolismo de los Glucosaminoglicanos                                         
E870  ,Hiperosmolaridad e Hipernatremia                                                                    
F169  ,Trastornos Mentales y del Comportamiento debidos al uso de Alucinogenos             
F170  ,Trastornos Mentales y del Comportamiento debidos al uso de Tabaco - Intoxicacion Aguda               
F182  ,Trastornos Mentales y del Comportamiento debidos al uso de Disolventes Volatiles - Sindro            
F233  ,Otro Trastorno Psicotico Agudo - con Predominio de Ideas Delirantes                                  
F339  ,Trastorno Depresivo Recurrente                                                      
F381  ,Otros Trastornos del Humor [Afectivos] - Recurrentes                                                 
F388  ,Otros Trastornos del Humor [Afectivos] - Especificados                                               
F422  ,Actos e Ideas Obsesivas Mixtos                                                                      
F438  ,Otras Reacciones al Estres Grave                                                                    
F519  ,Trastorno no Organico de Sueno                                                      
F601  ,Trastorno Esquizoide de la Personalidad                                                             
F632  ,Hurto Patologico [Cleptomania]                                                                      
F653  ,Voyeurismo                                                                                          
F982  ,Trastorno de la Ingestion Alimentaria en la Infancia y la Ninez                                     
F983  ,Pica en la Infancia y la Ninez                                                                      
F986  ,Farfulleo                                                                                           
G042  ,Meningoencefalitis y Meningomielitis Bacterianas - no Clasificadas en otra parte                     
G433  ,Migrana Complicada                                                                                  
G479  ,Trastorno del Sueno                                                                 
G579  ,Mononeuropatia del Miembro Inferior - sin otra Especificacion                                        
G587  ,Mononeuritis Multiple                                                                               
G590  ,Mononeuropatia diabetica (E10-E14+ con Cuarto Caracter Comun .4)                                    
G600  ,Neuropatia Hereditaria Motora y Sensorial                                                           
G628  ,Otras Polineuropatias Especificadas                                                                 
G632  ,Polineuropatia diabetica (E10-E14+ con Cuarto Caracter Comun .4)                                    
G635  ,Polineuropatia en Trastornos del Tejido Conectivo Sistemico                                         
G968  ,Otros Trastornos Especificados del Sistema Nervioso Central                                         
H062  ,Exoftalmia Hipertiroidea (E05.-+)                                                                   
H219  ,Trastorno del Iris y del Cuerpo Ciliar                                              
H261  ,Catarata Traumatica                                                                                 
H282  ,Catarata en otras Enfermedades Clasificadas en otra parte                                           
H302  ,Ciclitis Posterior                                                                                  
H335  ,Otros desprendimientos de la Retina                                                                 
H354  ,Degeneracion Periferica de la Retina                                                                
